variable,group,value
1850,1,-0.736
1850,2,-0.202
1850,3,-0.363
1850,4,-0.589
1850,5,-0.614
1850,6,-0.335
1850,7,-0.157
1850,8,-0.148
1850,9,-0.415
1850,10,-0.583
1850,11,-0.554
1850,12,-0.462
1851,1,-0.144
1851,2,-0.398
1851,3,-0.553
1851,4,-0.618
1851,5,-0.32
1851,6,-0.242
1851,7,-0.202
1851,8,-0.295
1851,9,-0.38
1851,10,-0.138
1851,11,-0.358
1851,12,-0.121
1852,1,-0.226
1852,2,-0.5
1852,3,-0.751
1852,4,-0.515
1852,5,-0.141
1852,6,-0.103
1852,7,-0.025
1852,8,-0.338
1852,9,-0.296
1852,10,-0.157
1852,11,-0.52
1852,12,0.108
1853,1,-0.324
1853,2,-0.347
1853,3,-0.39
1853,4,-0.266
1853,5,-0.259
1853,6,-0.164
1853,7,0.047
1853,8,-0.046
1853,9,-0.394
1853,10,-0.465
1853,11,-0.633
1853,12,-0.3
1854,1,-0.531
1854,2,-0.578
1854,3,-0.27
1854,4,-0.396
1854,5,-0.279
1854,6,-0.46
1854,7,-0.171
1854,8,-0.189
1854,9,-0.253
1854,10,0.119
1854,11,-0.221
1854,12,-0.188
1855,1,-0.016
1855,2,-0.108
1855,3,-0.263
1855,4,-0.077
1855,5,-0.224
1855,6,-0.332
1855,7,-0.367
1855,8,-0.243
1855,9,-0.478
1855,10,-0.305
1855,11,-0.374
1855,12,-0.529
1856,1,0.038
1856,2,-0.389
1856,3,-0.409
1856,4,-0.408
1856,5,-0.339
1856,6,-0.124
1856,7,-0.242
1856,8,-0.521
1856,9,-0.719
1856,10,-0.673
1856,11,-0.553
1856,12,-0.409
1857,1,-0.504
1857,2,-0.534
1857,3,-0.625
1857,4,-0.82
1857,5,-0.76
1857,6,-0.558
1857,7,-0.504
1857,8,-0.458
1857,9,-0.489
1857,10,-0.529
1857,11,-0.483
1857,12,-0.208
1858,1,-0.199
1858,2,-0.485
1858,3,-0.306
1858,4,-0.278
1858,5,-0.407
1858,6,-0.259
1858,7,-0.313
1858,8,-0.321
1858,9,-0.485
1858,10,-0.274
1858,11,-0.164
1858,12,-0.469
1859,1,-0.336
1859,2,-0.284
1859,3,-0.228
1859,4,0.012
1859,5,0.015
1859,6,-0.108
1859,7,-0.306
1859,8,-0.353
1859,9,-0.527
1859,10,-0.237
1859,11,-0.164
1859,12,-0.07
1860,1,-0.315
1860,2,-0.303
1860,3,-0.678
1860,4,-0.268
1860,5,-0.209
1860,6,-0.193
1860,7,-0.255
1860,8,-0.207
1860,9,-0.294
1860,10,-0.343
1860,11,-0.514
1860,12,-0.841
1861,1,-0.982
1861,2,-0.646
1861,3,-0.569
1861,4,-0.417
1861,5,-0.435
1861,6,-0.36
1861,7,-0.313
1861,8,-0.194
1861,9,-0.407
1861,10,-0.46
1861,11,-0.197
1861,12,-0.335
1862,1,-0.903
1862,2,-0.76
1862,3,-0.537
1862,4,-0.551
1862,5,-0.29
1862,6,-0.315
1862,7,-0.34
1862,8,-0.503
1862,9,-0.555
1862,10,-0.463
1862,11,-0.543
1862,12,-0.861
1863,1,-0.117
1863,2,-0.114
1863,3,-0.337
1863,4,-0.257
1863,5,-0.223
1863,6,-0.342
1863,7,-0.368
1863,8,-0.39
1863,9,-0.515
1863,10,-0.489
1863,11,-0.361
1863,12,-0.398
1864,1,-0.547
1864,2,-0.384
1864,3,-0.373
1864,4,-0.415
1864,5,-0.153
1864,6,-0.094
1864,7,-0.18
1864,8,-0.332
1864,9,-0.5
1864,10,-0.346
1864,11,-0.377
1864,12,-0.419
1865,1,0.119
1865,2,-0.279
